"","COW_ALPHA","leftright","year","sex","age"
"1842","USA",5,1999,1,38
"1843","USA",7,1999,2,28
"1844","USA",7,1999,1,64
"1845","USA",5,1999,2,65
"1846","USA",NA,1999,1,27
"1847","USA",5,1999,2,49
"1848","USA",5,1999,2,64
"1849","USA",4,1999,1,70
"1850","USA",5,1999,1,49
"1851","USA",6,1999,2,60
"1852","USA",6,1999,1,78
"1853","USA",5,1999,2,61
"1854","USA",6,1999,2,40
"1855","USA",5,1999,1,24
"1856","USA",5,1999,2,41
"1857","USA",7,1999,2,56
"1858","USA",6,1999,2,45
"1859","USA",6,1999,1,35
"1860","USA",5,1999,1,51
"1861","USA",5,1999,2,57
"1862","USA",5,1999,2,59
"1863","USA",7,1999,1,64
"1864","USA",4,1999,1,51
"1865","USA",5,1999,1,31
"1866","USA",5,1999,2,23
"1867","USA",5,1999,2,49
"1868","USA",5,1999,2,32
"1869","USA",5,1999,1,36
"1870","USA",6,1999,2,56
"1871","USA",5,1999,1,50
"1872","USA",9,1999,2,57
"1873","USA",6,1999,2,18
"1874","USA",4,1999,1,55
"1875","USA",5,1999,1,51
"1876","USA",5,1999,1,42
"1877","USA",5,1999,1,42
"1878","USA",6,1999,1,51
"1879","USA",5,1999,1,34
"1880","USA",5,1999,2,43
"1881","USA",5,1999,2,49
"1882","USA",4,1999,2,49
"1883","USA",5,1999,2,35
"1884","USA",5,1999,2,22
"1885","USA",6,1999,1,49
"1886","USA",5,1999,1,35
"1887","USA",6,1999,2,42
"1888","USA",7,1999,2,40
"1889","USA",6,1999,1,43
"1890","USA",5,1999,2,32
"1891","USA",7,1999,1,22
"1892","USA",10,1999,1,28
"1893","USA",7,1999,2,33
"1894","USA",6,1999,2,21
"1895","USA",1,1999,1,22
"1896","USA",8,1999,2,42
"1897","USA",8,1999,2,23
"1898","USA",5,1999,1,51
"1899","USA",6,1999,2,65
"1900","USA",6,1999,1,24
"1901","USA",5,1999,2,21
"1902","USA",5,1999,2,52
"1903","USA",8,1999,2,44
"1904","USA",7,1999,2,30
"1905","USA",6,1999,2,34
"1906","USA",9,1999,1,31
"1907","USA",7,1999,2,23
"1908","USA",3,1999,2,57
"1909","USA",6,1999,2,51
"1910","USA",6,1999,2,46
"1911","USA",5,1999,2,40
"1912","USA",9,1999,1,28
"1913","USA",8,1999,2,49
"1914","USA",8,1999,1,58
"1915","USA",8,1999,2,71
"1916","USA",4,1999,2,65
"1917","USA",5,1999,1,61
"1918","USA",5,1999,2,53
"1919","USA",5,1999,2,38
"1920","USA",10,1999,1,25
"1921","USA",5,1999,2,43
"1922","USA",5,1999,2,19
"1923","USA",5,1999,1,49
"1924","USA",5,1999,2,45
"1925","USA",5,1999,2,48
"1926","USA",7,1999,2,67
"1927","USA",8,1999,2,72
"1928","USA",6,1999,2,32
"1929","USA",6,1999,2,39
"1930","USA",5,1999,2,47
"1931","USA",1,1999,2,42
"1932","USA",5,1999,2,45
"1933","USA",6,1999,1,18
"1934","USA",6,1999,2,50
"1935","USA",6,1999,2,36
"1936","USA",6,1999,2,39
"1937","USA",7,1999,1,24
"1938","USA",6,1999,1,25
"1939","USA",3,1999,2,50
"1940","USA",5,1999,1,67
"1941","USA",7,1999,1,40
"1942","USA",NA,1999,2,82
"1943","USA",5,1999,2,25
"1944","USA",4,1999,2,20
"1945","USA",7,1999,2,63
"1946","USA",3,1999,1,49
"1947","USA",3,1999,1,26
"1948","USA",7,1999,1,24
"1949","USA",6,1999,2,37
"1950","USA",3,1999,1,31
"1951","USA",1,1999,1,62
"1952","USA",3,1999,1,45
"1953","USA",4,1999,1,79
"1954","USA",8,1999,2,65
"1955","USA",4,1999,2,35
"1956","USA",3,1999,1,35
"1957","USA",9,1999,1,41
"1958","USA",4,1999,1,33
"1959","USA",3,1999,1,52
"1960","USA",6,1999,2,38
"1961","USA",NA,1999,2,36
"1962","USA",6,1999,1,69
"1963","USA",5,1999,1,37
"1964","USA",6,1999,1,25
"1965","USA",1,1999,1,29
"1966","USA",6,1999,1,22
"1967","USA",5,1999,2,40
"1968","USA",5,1999,2,24
"1969","USA",5,1999,1,45
"1970","USA",6,1999,2,42
"1971","USA",6,1999,2,39
"1972","USA",8,1999,2,51
"1973","USA",NA,1999,2,18
"1974","USA",NA,1999,2,29
"1975","USA",NA,1999,2,53
"1976","USA",9,1999,2,51
"1977","USA",5,1999,2,34
"1978","USA",7,1999,1,51
"1979","USA",8,1999,2,65
"1980","USA",8,1999,2,24
"1981","USA",8,1999,1,57
"1982","USA",3,1999,2,62
"1983","USA",8,1999,1,23
"1984","USA",5,1999,2,37
"1985","USA",8,1999,2,58
"1986","USA",6,1999,2,46
"1987","USA",5,1999,1,20
"1988","USA",7,1999,1,21
"1989","USA",6,1999,2,50
"1990","USA",6,1999,2,30
"1991","USA",6,1999,2,57
"1992","USA",6,1999,1,52
"1993","USA",5,1999,2,36
"1994","USA",6,1999,2,22
"1995","USA",8,1999,2,39
"1996","USA",5,1999,2,67
"1997","USA",7,1999,1,54
"1998","USA",5,1999,2,45
"1999","USA",6,1999,1,49
"2000","USA",6,1999,1,25
"2001","USA",8,1999,2,62
"2002","USA",6,1999,2,42
"2003","USA",5,1999,2,28
"2004","USA",5,1999,2,28
"2005","USA",9,1999,2,39
"2006","USA",6,1999,2,31
"2007","USA",6,1999,2,53
"2008","USA",5,1999,1,23
"2009","USA",6,1999,1,38
"2010","USA",7,1999,1,33
"2011","USA",5,1999,2,79
"2012","USA",5,1999,2,45
"2013","USA",5,1999,2,40
"2014","USA",5,1999,1,38
"2015","USA",5,1999,2,49
"2016","USA",5,1999,2,29
"2017","USA",7,1999,1,48
"2018","USA",7,1999,2,55
"2019","USA",9,1999,2,35
"2020","USA",5,1999,2,56
"2021","USA",5,1999,2,40
"2022","USA",6,1999,2,38
"2023","USA",7,1999,1,55
"2024","USA",6,1999,2,56
"2025","USA",5,1999,2,18
"2026","USA",5,1999,2,74
"2027","USA",6,1999,2,31
"2028","USA",8,1999,2,59
"2029","USA",NA,1999,2,57
"2030","USA",5,1999,2,35
"2031","USA",8,1999,2,47
"2032","USA",7,1999,2,49
"2033","USA",3,1999,2,36
"2034","USA",8,1999,2,28
"2035","USA",6,1999,2,32
"2036","USA",7,1999,1,19
"2037","USA",5,1999,2,30
"2038","USA",3,1999,2,49
"2039","USA",5,1999,2,20
"2040","USA",8,1999,1,18
"2041","USA",1,1999,2,26
"2042","USA",3,1999,1,41
"2043","USA",5,1999,2,39
"2044","USA",8,1999,2,37
"2045","USA",8,1999,2,31
"2046","USA",7,1999,2,40
"2047","USA",NA,1999,2,27
"2048","USA",9,1999,2,18
"2049","USA",5,1999,1,45
"2050","USA",NA,1999,1,19
"2051","USA",6,1999,2,36
"2052","USA",5,1999,1,18
"2053","USA",5,1999,1,18
"2054","USA",7,1999,2,41
"2055","USA",5,1999,2,18
"2056","USA",5,1999,2,32
"2057","USA",9,1999,2,54
"2058","USA",NA,1999,2,49
"2059","USA",5,1999,2,19
"2060","USA",6,1999,1,77
"2061","USA",1,1999,2,20
"2062","USA",9,1999,1,23
"2063","USA",7,1999,2,48
"2064","USA",6,1999,2,39
"2065","USA",4,1999,1,28
"2066","USA",6,1999,1,51
"2067","USA",10,1999,2,49
"2068","USA",NA,1999,2,24
"2069","USA",NA,1999,2,30
"2070","USA",6,1999,2,66
"2071","USA",5,1999,2,30
"2072","USA",5,1999,1,22
"2073","USA",10,1999,1,21
"2074","USA",4,1999,1,23
"2075","USA",4,1999,2,25
"2076","USA",NA,1999,2,65
"2077","USA",NA,1999,2,21
"2078","USA",NA,1999,2,56
"2079","USA",7,1999,2,35
"2080","USA",NA,1999,2,33
"2081","USA",6,1999,2,28
"2082","USA",7,1999,2,19
"2083","USA",5,1999,1,38
"2084","USA",10,1999,1,18
"2085","USA",5,1999,2,27
"2086","USA",5,1999,2,31
"2087","USA",6,1999,2,36
"2088","USA",6,1999,1,43
"2089","USA",5,1999,1,22
"2090","USA",6,1999,2,36
"2091","USA",7,1999,2,40
"2092","USA",5,1999,1,48
"2093","USA",10,1999,2,49
"2094","USA",5,1999,2,38
"2095","USA",NA,1999,2,37
"2096","USA",NA,1999,1,25
"2097","USA",5,1999,2,24
"2098","USA",5,1999,2,21
"2099","USA",5,1999,2,36
"2100","USA",5,1999,2,72
"2101","USA",7,1999,2,45
"2102","USA",7,1999,2,30
"2103","USA",5,1999,2,22
"2104","USA",8,1999,2,70
"2105","USA",8,1999,1,40
"2106","USA",6,1999,2,60
"2107","USA",5,1999,1,48
"2108","USA",10,1999,1,19
"2109","USA",8,1999,1,60
"2110","USA",5,1999,2,44
"2111","USA",5,1999,2,45
"2112","USA",NA,1999,1,36
"2113","USA",6,1999,2,38
"2114","USA",9,1999,1,49
"2115","USA",4,1999,2,19
"2116","USA",5,1999,2,75
"2117","USA",5,1999,2,38
"2118","USA",7,1999,2,27
"2119","USA",7,1999,2,19
"2120","USA",9,1999,2,38
"2121","USA",5,1999,1,30
"2122","USA",5,1999,2,18
"2123","USA",7,1999,1,61
"2124","USA",NA,1999,2,24
"2125","USA",6,1999,2,43
"2126","USA",5,1999,2,56
"2127","USA",8,1999,1,49
"2128","USA",4,1999,1,45
"2129","USA",7,1999,2,25
"2130","USA",7,1999,2,29
"2131","USA",4,1999,2,25
"2132","USA",8,1999,1,70
"2133","USA",6,1999,2,24
"2134","USA",5,1999,1,44
"2135","USA",5,1999,2,47
"2136","USA",5,1999,2,40
"2137","USA",8,1999,1,45
"2138","USA",7,1999,1,75
"2139","USA",5,1999,2,56
"2140","USA",10,1999,2,20
"2141","USA",6,1999,2,52
"2142","USA",8,1999,2,54
"2143","USA",5,1999,2,38
"2144","USA",6,1999,2,45
"2145","USA",5,1999,1,47
"2146","USA",3,1999,2,72
"2147","USA",7,1999,1,49
"2148","USA",5,1999,1,81
"2149","USA",4,1999,2,37
"2150","USA",5,1999,1,52
"2151","USA",8,1999,2,68
"2152","USA",4,1999,2,48
"2153","USA",1,1999,2,26
"2154","USA",1,1999,1,59
"2155","USA",5,1999,2,35
"2156","USA",3,1999,2,20
"2157","USA",6,1999,2,72
"2158","USA",5,1999,2,54
"2159","USA",7,1999,1,18
"2160","USA",8,1999,2,57
"2161","USA",3,1999,1,49
"2162","USA",3,1999,1,22
"2163","USA",6,1999,1,60
"2164","USA",6,1999,1,45
"2165","USA",NA,1999,1,24
"2166","USA",8,1999,1,47
"2167","USA",NA,1999,2,32
"2168","USA",NA,1999,2,42
"2169","USA",10,1999,1,67
"2170","USA",3,1999,2,69
"2171","USA",6,1999,2,32
"2172","USA",8,1999,1,74
"2173","USA",10,1999,2,68
"2174","USA",NA,1999,2,21
"2175","USA",8,1999,1,37
"2176","USA",8,1999,2,50
"2177","USA",4,1999,1,25
"2178","USA",9,1999,1,86
"2179","USA",8,1999,2,43
"2180","USA",6,1999,1,18
"2181","USA",5,1999,1,35
"2182","USA",7,1999,1,27
"2183","USA",5,1999,2,48
"2184","USA",8,1999,2,18
"2185","USA",7,1999,2,23
"2186","USA",8,1999,2,67
"2187","USA",7,1999,1,32
"2188","USA",3,1999,1,31
"2189","USA",5,1999,2,29
"2190","USA",8,1999,1,40
"2191","USA",8,1999,2,47
"2192","USA",6,1999,2,38
"2193","USA",4,1999,2,19
"2194","USA",5,1999,2,21
"2195","USA",4,1999,2,21
"2196","USA",8,1999,1,43
"2197","USA",7,1999,2,25
"2198","USA",6,1999,1,44
"2199","USA",5,1999,1,18
"2200","USA",7,1999,1,44
"2201","USA",5,1999,1,30
"2202","USA",7,1999,1,40
"2203","USA",5,1999,1,32
"2204","USA",5,1999,2,64
"2205","USA",6,1999,1,22
"2206","USA",4,1999,2,22
"2207","USA",2,1999,1,22
"2208","USA",NA,1999,1,76
"2209","USA",8,1999,2,33
"2210","USA",2,1999,1,28
"2211","USA",6,1999,2,56
"2212","USA",6,1999,2,56
"2213","USA",6,1999,2,48
"2214","USA",9,1999,1,46
"2215","USA",6,1999,1,71
"2216","USA",5,1999,1,62
"2217","USA",3,1999,2,26
"2218","USA",8,1999,1,39
"2219","USA",3,1999,1,61
"2220","USA",4,1999,1,39
"2221","USA",2,1999,2,34
"2222","USA",5,1999,2,69
"2223","USA",7,1999,2,25
"2224","USA",5,1999,2,56
"2225","USA",6,1999,2,53
"2226","USA",4,1999,2,51
"2227","USA",6,1999,1,59
"2228","USA",5,1999,2,50
"2229","USA",8,1999,1,58
"2230","USA",5,1999,2,50
"2231","USA",4,1999,1,31
"2232","USA",6,1999,2,31
"2233","USA",3,1999,1,32
"2234","USA",7,1999,1,41
"2235","USA",5,1999,2,47
"2236","USA",5,1999,2,35
"2237","USA",2,1999,1,51
"2238","USA",6,1999,2,51
"2239","USA",8,1999,1,18
"2240","USA",5,1999,2,35
"2241","USA",7,1999,2,44
"2242","USA",5,1999,1,55
"2243","USA",6,1999,1,47
"2244","USA",6,1999,2,78
"2245","USA",10,1999,2,76
"2246","USA",6,1999,2,53
"2247","USA",6,1999,2,74
"2248","USA",8,1999,1,64
"2249","USA",8,1999,1,29
"2250","USA",7,1999,1,45
"2251","USA",6,1999,2,53
"2252","USA",6,1999,1,54
"2253","USA",7,1999,2,63
"2254","USA",6,1999,2,56
"2255","USA",1,1999,1,74
"2256","USA",4,1999,2,62
"2257","USA",6,1999,1,40
"2258","USA",7,1999,2,28
"2259","USA",1,1999,1,78
"2260","USA",6,1999,1,35
"2261","USA",5,1999,1,23
"2262","USA",4,1999,1,27
"2263","USA",2,1999,1,43
"2264","USA",6,1999,2,34
"2265","USA",NA,1999,2,37
"2266","USA",6,1999,2,34
"2267","USA",5,1999,2,43
"2268","USA",6,1999,2,42
"2269","USA",10,1999,1,43
"2270","USA",NA,1999,2,30
"2271","USA",9,1999,1,40
"2272","USA",6,1999,1,37
"2273","USA",6,1999,1,37
"2274","USA",5,1999,2,46
"2275","USA",5,1999,2,41
"2276","USA",6,1999,1,38
"2277","USA",5,1999,1,46
"2278","USA",7,1999,2,23
"2279","USA",8,1999,1,40
"2280","USA",5,1999,1,50
"2281","USA",6,1999,2,33
"2282","USA",10,1999,1,65
"2283","USA",6,1999,1,33
"2284","USA",7,1999,2,63
"2285","USA",5,1999,2,35
"2286","USA",1,1999,1,59
"2287","USA",7,1999,2,44
"2288","USA",NA,1999,1,18
"2289","USA",NA,1999,1,48
"2290","USA",7,1999,1,80
"2291","USA",9,1999,2,36
"2292","USA",3,1999,1,37
"2293","USA",9,1999,1,45
"2294","USA",5,1999,2,63
"2295","USA",6,1999,2,34
"2296","USA",NA,1999,2,30
"2297","USA",4,1999,1,25
"2298","USA",10,1999,2,42
"2299","USA",8,1999,1,66
"2300","USA",5,1999,1,44
"2301","USA",6,1999,1,37
"2302","USA",5,1999,1,45
"2303","USA",6,1999,2,31
"2304","USA",1,1999,1,80
"2305","USA",5,1999,1,38
"2306","USA",8,1999,2,19
"2307","USA",9,1999,2,43
"2308","USA",6,1999,2,35
"2309","USA",4,1999,2,30
"2310","USA",9,1999,2,67
"2311","USA",5,1999,2,50
"2312","USA",1,1999,2,51
"2313","USA",5,1999,1,19
"2314","USA",6,1999,1,28
"2315","USA",5,1999,2,31
"2316","USA",5,1999,2,29
"2317","USA",8,1999,2,51
"2318","USA",5,1999,2,30
"2319","USA",6,1999,1,27
"2320","USA",5,1999,1,40
"2321","USA",8,1999,1,57
"2322","USA",6,1999,1,58
"2323","USA",6,1999,1,42
"2324","USA",5,1999,1,62
"2325","USA",8,1999,2,76
"2326","USA",6,1999,2,43
"2327","USA",5,1999,1,53
"2328","USA",7,1999,2,66
"2329","USA",5,1999,2,49
"2330","USA",6,1999,1,72
"2331","USA",5,1999,2,73
"2332","USA",7,1999,2,58
"2333","USA",5,1999,1,65
"2334","USA",5,1999,1,36
"2335","USA",5,1999,2,49
"2336","USA",1,1999,2,29
"2337","USA",5,1999,1,22
"2338","USA",5,1999,2,42
"2339","USA",8,1999,2,73
"2340","USA",5,1999,2,38
"2341","USA",7,1999,1,20
"2342","USA",5,1999,2,34
"2343","USA",7,1999,1,49
"2344","USA",7,1999,1,20
"2345","USA",9,1999,1,56
"2346","USA",5,1999,2,47
"2347","USA",9,1999,1,38
"2348","USA",5,1999,2,44
"2349","USA",10,1999,2,53
"2350","USA",7,1999,2,52
"2351","USA",1,1999,1,18
"2352","USA",6,1999,2,44
"2353","USA",6,1999,1,31
"2354","USA",6,1999,2,42
"2355","USA",5,1999,1,51
"2356","USA",4,1999,1,19
"2357","USA",5,1999,1,50
"2358","USA",5,1999,2,35
"2359","USA",8,1999,2,56
"2360","USA",6,1999,2,43
"2361","USA",2,1999,2,44
"2362","USA",6,1999,1,51
"2363","USA",NA,1999,2,39
"2364","USA",6,1999,1,26
"2365","USA",NA,1999,2,45
"2366","USA",5,1999,1,46
"2367","USA",7,1999,1,22
"2368","USA",5,1999,2,60
"2369","USA",4,1999,1,23
"2370","USA",7,1999,2,47
"2371","USA",2,1999,1,59
"2372","USA",4,1999,2,51
"2373","USA",6,1999,2,39
"2374","USA",10,1999,1,66
"2375","USA",3,1999,1,39
"2376","USA",8,1999,1,30
"2377","USA",5,1999,2,36
"2378","USA",10,1999,2,57
"2379","USA",4,1999,2,59
"2380","USA",9,1999,2,63
"2381","USA",5,1999,1,20
"2382","USA",5,1999,1,48
"2383","USA",5,1999,2,59
"2384","USA",3,1999,2,33
"2385","USA",2,1999,1,69
"2386","USA",5,1999,2,46
"2387","USA",5,1999,2,29
"2388","USA",6,1999,2,54
"2389","USA",4,1999,1,48
"2390","USA",5,1999,2,57
"2391","USA",3,1999,1,43
"2392","USA",5,1999,1,60
"2393","USA",5,1999,1,44
"2394","USA",1,1999,2,54
"2395","USA",5,1999,2,62
"2396","USA",3,1999,2,29
"2397","USA",8,1999,1,37
"2398","USA",5,1999,2,78
"2399","USA",2,1999,1,20
"2400","USA",9,1999,1,42
"2401","USA",8,1999,2,46
"2402","USA",4,1999,1,27
"2403","USA",6,1999,1,66
"2404","USA",8,1999,1,22
"2405","USA",7,1999,2,69
"2406","USA",2,1999,2,32
"2407","USA",6,1999,2,68
"2408","USA",9,1999,1,79
"2409","USA",8,1999,2,45
"2410","USA",9,1999,1,54
"2411","USA",5,1999,1,44
"2412","USA",7,1999,2,23
"2413","USA",6,1999,1,78
"2414","USA",5,1999,2,38
"2415","USA",6,1999,2,31
"2416","USA",7,1999,2,30
"2417","USA",6,1999,1,52
"2418","USA",8,1999,1,74
"2419","USA",8,1999,1,57
"2420","USA",6,1999,2,72
"2421","USA",7,1999,2,56
"2422","USA",9,1999,1,66
"2423","USA",6,1999,2,69
"2424","USA",5,1999,1,38
"2425","USA",5,1999,1,26
"2426","USA",4,1999,1,26
"2427","USA",3,1999,2,20
"2428","USA",8,1999,1,81
"2429","USA",6,1999,2,19
"2430","USA",8,1999,2,18
"2431","USA",7,1999,2,33
"2432","USA",4,1999,2,51
"2433","USA",4,1999,1,79
"2434","USA",5,1999,1,30
"2435","USA",5,1999,2,28
"2436","USA",3,1999,2,25
"2437","USA",7,1999,1,30
"2438","USA",6,1999,1,25
"2439","USA",5,1999,2,26
"2440","USA",6,1999,1,27
"2441","USA",1,1999,1,20
"2442","USA",8,1999,2,20
"2443","USA",8,1999,1,31
"2444","USA",4,1999,1,59
"2445","USA",5,1999,2,57
"2446","USA",5,1999,1,53
"2447","USA",6,1999,2,23
"2448","USA",3,1999,2,52
"2449","USA",5,1999,2,27
"2450","USA",5,1999,2,38
"2451","USA",5,1999,1,20
"2452","USA",NA,1999,1,38
"2453","USA",NA,1999,2,38
"2454","USA",6,1999,1,35
"2455","USA",6,1999,2,28
"2456","USA",5,1999,1,20
"2457","USA",6,1999,1,22
"2458","USA",8,1999,2,31
"2459","USA",6,1999,2,35
"2460","USA",5,1999,1,47
"2461","USA",7,1999,1,39
"2462","USA",6,1999,1,41
"2463","USA",1,1999,1,22
"2464","USA",5,1999,2,32
"2465","USA",8,1999,1,35
"2466","USA",6,1999,2,47
"2467","USA",5,1999,2,52
"2468","USA",7,1999,2,22
"2469","USA",6,1999,1,26
"2470","USA",6,1999,2,66
"2471","USA",4,1999,2,35
"2472","USA",5,1999,1,34
"2473","USA",5,1999,2,57
"2474","USA",4,1999,2,29
"2475","USA",6,1999,2,41
"2476","USA",8,1999,1,21
"2477","USA",8,1999,1,39
"2478","USA",8,1999,1,72
"2479","USA",3,1999,2,46
"2480","USA",9,1999,2,39
"2481","USA",1,1999,2,24
"2482","USA",6,1999,2,46
"2483","USA",2,1999,1,31
"2484","USA",5,1999,2,31
"2485","USA",3,1999,1,45
"2486","USA",6,1999,1,27
"2487","USA",4,1999,2,49
"2488","USA",6,1999,1,23
"2489","USA",1,1999,1,23
"2490","USA",3,1999,1,31
"2491","USA",6,1999,1,65
"2492","USA",5,1999,2,57
"2493","USA",10,1999,2,76
"2494","USA",5,1999,1,33
"2495","USA",7,1999,2,38
"2496","USA",5,1999,2,56
"2497","USA",7,1999,2,33
"2498","USA",5,1999,1,70
"2499","USA",5,1999,2,31
"2500","USA",4,1999,1,22
"2501","USA",5,1999,2,31
"2502","USA",5,1999,1,53
"2503","USA",4,1999,2,38
"2504","USA",NA,1999,2,61
"2505","USA",5,1999,2,63
"2506","USA",NA,1999,2,20
"2507","USA",7,1999,2,27
"2508","USA",9,1999,1,50
"2509","USA",5,1999,2,38
"2510","USA",6,1999,1,35
"2511","USA",NA,1999,2,36
"2512","USA",5,1999,1,40
"2513","USA",5,1999,1,38
"2514","USA",8,1999,1,38
"2515","USA",8,1999,1,23
"2516","USA",4,1999,2,47
"2517","USA",3,1999,2,40
"2518","USA",3,1999,2,27
"2519","USA",5,1999,1,21
"2520","USA",3,1999,1,20
"2521","USA",2,1999,2,40
"2522","USA",NA,1999,2,44
"2523","USA",5,1999,1,30
"2524","USA",5,1999,1,19
"2525","USA",3,1999,2,75
"2526","USA",6,1999,1,30
"2527","USA",6,1999,2,60
"2528","USA",NA,1999,2,34
"2529","USA",NA,1999,2,29
"2530","USA",5,1999,2,32
"2531","USA",5,1999,1,27
"2532","USA",6,1999,1,63
"2533","USA",1,1999,1,23
"2534","USA",7,1999,1,34
"2535","USA",9,1999,1,29
"2536","USA",6,1999,2,43
"2537","USA",9,1999,1,32
"2538","USA",10,1999,2,23
"2539","USA",6,1999,2,53
"2540","USA",7,1999,2,62
"2541","USA",8,1999,2,38
"2542","USA",7,1999,2,45
"2543","USA",4,1999,1,51
"2544","USA",5,1999,1,32
"2545","USA",8,1999,1,62
"2546","USA",10,1999,2,24
"2547","USA",6,1999,2,73
"2548","USA",7,1999,1,41
"2549","USA",2,1999,1,18
"2550","USA",7,1999,2,39
"2551","USA",6,1999,1,55
"2552","USA",5,1999,2,29
"2553","USA",5,1999,1,41
"2554","USA",NA,1999,2,39
"2555","USA",5,1999,2,74
"2556","USA",9,1999,1,64
"2557","USA",6,1999,2,63
"2558","USA",5,1999,1,77
"2559","USA",6,1999,1,27
"2560","USA",10,1999,2,72
"2561","USA",3,1999,1,60
"2562","USA",6,1999,2,61
"2563","USA",5,1999,2,36
"2564","USA",6,1999,2,54
"2565","USA",NA,1999,2,26
"2566","USA",7,1999,1,47
"2567","USA",NA,1999,2,37
"2568","USA",8,1999,1,21
"2569","USA",8,1999,1,39
"2570","USA",6,1999,2,44
"2571","USA",6,1999,1,21
"2572","USA",6,1999,2,36
"2573","USA",NA,1999,1,19
"2574","USA",6,1999,1,41
"2575","USA",5,1999,1,29
"2576","USA",5,1999,2,55
"2577","USA",5,1999,2,25
"2578","USA",6,1999,2,65
"2579","USA",4,1999,2,40
"2580","USA",6,1999,2,65
"2581","USA",5,1999,1,22
"2582","USA",8,1999,1,58
"2583","USA",5,1999,2,49
"2584","USA",5,1999,1,46
"2585","USA",8,1999,1,61
"2586","USA",8,1999,1,74
"2587","USA",7,1999,1,22
"2588","USA",1,1999,2,21
"2589","USA",1,1999,1,31
"2590","USA",8,1999,1,26
"2591","USA",5,1999,1,20
"2592","USA",10,1999,1,19
"2593","USA",7,1999,2,59
"2594","USA",7,1999,2,35
"2595","USA",5,1999,2,28
"2596","USA",6,1999,1,42
"2597","USA",5,1999,2,43
"2598","USA",6,1999,2,36
"2599","USA",5,1999,2,66
"2600","USA",7,1999,2,70
"2601","USA",3,1999,1,18
"2602","USA",10,1999,1,70
"2603","USA",7,1999,1,38
"2604","USA",6,1999,2,72
"2605","USA",7,1999,2,51
"2606","USA",9,1999,2,20
"2607","USA",6,1999,2,42
"2608","USA",5,1999,1,74
"2609","USA",7,1999,1,44
"2610","USA",5,1999,2,42
"2611","USA",4,1999,1,43
"2612","USA",5,1999,1,57
"2613","USA",7,1999,2,41
"2614","USA",10,1999,1,53
"2615","USA",6,1999,2,42
"2616","USA",5,1999,1,41
"2617","USA",4,1999,2,62
"2618","USA",7,1999,1,68
"2619","USA",2,1999,2,51
"2620","USA",7,1999,2,72
"2621","USA",8,1999,2,46
"2622","USA",8,1999,1,60
"2623","USA",8,1999,1,58
"2624","USA",8,1999,1,48
"2625","USA",7,1999,1,61
"2626","USA",5,1999,2,57
"2627","USA",6,1999,1,44
"2628","USA",9,1999,1,48
"2629","USA",3,1999,1,64
"2630","USA",7,1999,2,51
"2631","USA",6,1999,2,41
"2632","USA",9,1999,2,46
"2633","USA",5,1999,2,30
"2634","USA",6,1999,2,58
"2635","USA",3,1999,1,31
"2636","USA",3,1999,2,28
"2637","USA",7,1999,2,61
"2638","USA",9,1999,2,54
"2639","USA",6,1999,1,38
"2640","USA",2,1999,2,19
"2641","USA",6,1999,1,60
"2642","USA",6,1999,2,51
"2643","USA",7,1999,1,59
"2644","USA",1,1999,1,75
"2645","USA",5,1999,2,38
"2646","USA",5,1999,2,64
"2647","USA",7,1999,1,44
"2648","USA",6,1999,1,71
"2649","USA",9,1999,2,37
"2650","USA",1,1999,1,20
"2651","USA",5,1999,2,69
"2652","USA",NA,1999,2,50
"2653","USA",5,1999,2,29
"2654","USA",7,1999,2,40
"2655","USA",5,1999,1,56
"2656","USA",5,1999,2,51
"2657","USA",3,1999,1,40
"2658","USA",5,1999,1,48
"2659","USA",10,1999,1,60
"2660","USA",6,1999,2,51
"2661","USA",8,1999,1,18
"2662","USA",5,1999,2,60
"2663","USA",10,1999,2,74
"2664","USA",8,1999,1,42
"2665","USA",5,1999,2,46
"2666","USA",7,1999,1,39
"2667","USA",5,1999,2,41
"2668","USA",8,1999,1,20
"2669","USA",6,1999,2,29
"2670","USA",6,1999,1,23
"2671","USA",NA,1999,2,38
"2672","USA",8,1999,1,84
"2673","USA",5,1999,2,35
"2674","USA",3,1999,1,33
"2675","USA",9,1999,1,73
"2676","USA",7,1999,2,35
"2677","USA",8,1999,2,19
"2678","USA",6,1999,2,40
"2679","USA",7,1999,2,65
"2680","USA",7,1999,1,22
"2681","USA",3,1999,1,38
"2682","USA",5,1999,1,29
"2683","USA",5,1999,1,41
"2684","USA",8,1999,2,52
"2685","USA",7,1999,2,46
"2686","USA",5,1999,2,49
"2687","USA",6,1999,2,51
"2688","USA",8,1999,1,59
"2689","USA",NA,1999,2,77
"2690","USA",4,1999,1,70
"2691","USA",5,1999,1,35
"2692","USA",NA,1999,2,61
"2693","USA",5,1999,1,23
"2694","USA",6,1999,2,66
"2695","USA",6,1999,2,32
"2696","USA",6,1999,1,43
"2697","USA",10,1999,2,35
"2698","USA",6,1999,1,47
"2699","USA",6,1999,1,74
"2700","USA",NA,1999,2,27
"2701","USA",4,1999,2,31
"2702","USA",10,1999,1,29
"2703","USA",10,1999,2,25
"2704","USA",7,1999,1,54
"2705","USA",3,1999,2,33
"2706","USA",8,1999,1,68
"2707","USA",5,1999,2,46
"2708","USA",10,1999,1,20
"2709","USA",6,1999,1,25
"2710","USA",7,1999,1,31
"2711","USA",5,1999,1,74
