"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x939091","x1459276317057298441",2021-11-12 21:46:00,"JoeBiden","The Bipartisan Infrastructure Deal will lower costs and reduce supply chain bottlenecks.

Now, let's pass Build Back Better—which 17 Nobel Prize winning economists say will ease longer-term inflationary pressures and lower costs for American families.","Sprout Social",251,,,,FALSE,FALSE,10431,1931,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoeBiden/status/1459276317057298441","Joe Biden","Washington, DC","Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.","https://t.co/UClrPuJpyZ",FALSE,33788703,48,38993,8146,20,2007-03-11 17:51:24,TRUE,"https://t.co/UClrPuJpyZ","http://joebiden.com",,"https://pbs.twimg.com/profile_banners/939091/1626295479","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg"
"x939091","x1459259457603518467",2021-11-12 20:39:01,"JoeBiden","The Build Back Better Framework will be a transformative investment in our future. Together, we can grow the economy from the bottom up and the middle out so that everyone gets ahead.","Sprout Social",183,,,,FALSE,FALSE,11831,1756,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoeBiden/status/1459259457603518467","Joe Biden","Washington, DC","Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.","https://t.co/UClrPuJpyZ",FALSE,33788703,48,38993,8146,20,2007-03-11 17:51:24,TRUE,"https://t.co/UClrPuJpyZ","http://joebiden.com",,"https://pbs.twimg.com/profile_banners/939091/1626295479","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg"
"x939091","x1458829282747330574",2021-11-11 16:09:39,"JoeBiden","Tune in as I deliver remarks at the National Veterans Day Observance at the Memorial Amphitheater. https://t.co/9OvletPbjI","Sprout Social",133,,,,FALSE,TRUE,0,1562,,,,,"twitter.com/i/broadcasts/1…","https://t.co/9OvletPbjI","https://twitter.com/i/broadcasts/1ZkJzbBvweoJv",,,,,,,,,"x1349149096909668363","POTUS","en",,,,,,,,,,,,,,,,"x1458829137272053764","Tune in as I deliver remarks at the National Veterans Day Observance at the Memorial Amphitheater. https://t.co/9OvletPbjI",2021-11-11 16:09:04,"Twitter Media Studio",9400,1562,"x1349149096909668363","POTUS","President Biden",21364922,12,2983,"","46th President of the United States, husband to @FLOTUS, proud dad & pop. Tweets may be archived: https://t.co/HDhBZBkKpU",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoeBiden/status/1458829282747330574","Joe Biden","Washington, DC","Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.","https://t.co/UClrPuJpyZ",FALSE,33788703,48,38993,8146,20,2007-03-11 17:51:24,TRUE,"https://t.co/UClrPuJpyZ","http://joebiden.com",,"https://pbs.twimg.com/profile_banners/939091/1626295479","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg"
"x939091","x1458828944401121290",2021-11-11 16:08:18,"JoeBiden","Less than 1% of Americans currently serve in our military and while we can never fully repay the debt we owe these heroes, it is our sacred obligation to properly care for and support them. 

This Veterans Day, we honor all those who have answered the call to serve. https://t.co/DBAMdlvUJK","Sprout Social",266,,,,FALSE,FALSE,9620,1641,,,,,,,,"http://pbs.twimg.com/media/FD7NMOMX0Ac4vaz.jpg","https://t.co/DBAMdlvUJK","https://twitter.com/JoeBiden/status/1458828944401121290/video/1","photo","http://pbs.twimg.com/media/FD7NMOMX0Ac4vaz.jpg","https://t.co/DBAMdlvUJK","https://twitter.com/JoeBiden/status/1458828944401121290/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoeBiden/status/1458828944401121290","Joe Biden","Washington, DC","Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.","https://t.co/UClrPuJpyZ",FALSE,33788703,48,38993,8146,20,2007-03-11 17:51:24,TRUE,"https://t.co/UClrPuJpyZ","http://joebiden.com",,"https://pbs.twimg.com/profile_banners/939091/1626295479","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg"
"x939091","x1458607156840828928",2021-11-11 01:27:00,"JoeBiden","With the Build Back Better Framework, we will make health care more affordable for millions of Americans.","Sprout Social",105,,,,FALSE,FALSE,20242,2524,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoeBiden/status/1458607156840828928","Joe Biden","Washington, DC","Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.","https://t.co/UClrPuJpyZ",FALSE,33788703,48,38993,8146,20,2007-03-11 17:51:24,TRUE,"https://t.co/UClrPuJpyZ","http://joebiden.com",,"https://pbs.twimg.com/profile_banners/939091/1626295479","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg"
"x939091","x1458570417468227591",2021-11-10 23:01:01,"JoeBiden","Under the Build Back Better Framework, we will create millions of good-paying jobs, spur long-term growth, lower costs for working families, and set America on course to meet our greenhouse gas emissions targets.","Sprout Social",212,,,,FALSE,FALSE,12883,2006,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoeBiden/status/1458570417468227591","Joe Biden","Washington, DC","Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.","https://t.co/UClrPuJpyZ",FALSE,33788703,48,38993,8146,20,2007-03-11 17:51:24,TRUE,"https://t.co/UClrPuJpyZ","http://joebiden.com",,"https://pbs.twimg.com/profile_banners/939091/1626295479","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg"
"x939091","x1458477563207208966",2021-11-10 16:52:02,"JoeBiden","The Bipartisan Infrastructure Deal is a historic investment in our nation’s public infrastructure. 

We will rebuild our roads and bridges, provide clean drinking water, expand broadband access, invest in clean energy, and create good-paying jobs across the country.","Sprout Social",266,,,,FALSE,FALSE,11242,1833,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoeBiden/status/1458477563207208966","Joe Biden","Washington, DC","Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.","https://t.co/UClrPuJpyZ",FALSE,33788703,48,38993,8146,20,2007-03-11 17:51:24,TRUE,"https://t.co/UClrPuJpyZ","http://joebiden.com",,"https://pbs.twimg.com/profile_banners/939091/1626295479","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg"
"x939091","x1458462845402816518",2021-11-10 15:53:33,"JoeBiden","Today, we learned that we have had six consecutive weeks of decline in new unemployment claims. Unemployment claims are down 70% since I took office and falling at the fastest rate since the 1950s.

America is getting back to work.","Twitter Web App",140,,,,FALSE,TRUE,0,5477,,,,,,,,,,,,,,,,"x1349149096909668363","POTUS","en",,,,,,,,,,,,,,,,"x1458462609771057152","Today, we learned that we have had six consecutive weeks of decline in new unemployment claims. Unemployment claims are down 70% since I took office and falling at the fastest rate since the 1950s.

America is getting back to work.",2021-11-10 15:52:37,"The White House",37877,5477,"x1349149096909668363","POTUS","President Biden",21364922,12,2983,"","46th President of the United States, husband to @FLOTUS, proud dad & pop. Tweets may be archived: https://t.co/HDhBZBkKpU",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoeBiden/status/1458462845402816518","Joe Biden","Washington, DC","Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.","https://t.co/UClrPuJpyZ",FALSE,33788703,48,38993,8146,20,2007-03-11 17:51:24,TRUE,"https://t.co/UClrPuJpyZ","http://joebiden.com",,"https://pbs.twimg.com/profile_banners/939091/1626295479","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg"
"x939091","x1458232943114166285",2021-11-10 00:40:00,"JoeBiden","Climate action is not just a moral imperative: it’s also an economic imperative. Investing in our clean energy future leads not only to good-paying jobs and economic recovery, but to making the world a better place for future generations.","Sprout Social",238,,,,FALSE,FALSE,19615,2820,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoeBiden/status/1458232943114166285","Joe Biden","Washington, DC","Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.","https://t.co/UClrPuJpyZ",FALSE,33788703,48,38993,8146,20,2007-03-11 17:51:24,TRUE,"https://t.co/UClrPuJpyZ","http://joebiden.com",,"https://pbs.twimg.com/profile_banners/939091/1626295479","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg"
"x939091","x1458135552604217351",2021-11-09 18:13:01,"JoeBiden","The historic Bipartisan Infrastructure Deal will help American workers and businesses win the 21st century. I’m speaking about this and more with you this afternoon. RSVP now.
https://t.co/cyxzWs95gF","Sprout Social",199,,,,FALSE,FALSE,6647,1118,,,,,"events.democrats.org/event/426855/?…","https://t.co/cyxzWs95gF","https://events.democrats.org/event/426855/?utm_source=dncsocial",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoeBiden/status/1458135552604217351","Joe Biden","Washington, DC","Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.","https://t.co/UClrPuJpyZ",FALSE,33788703,48,38993,8146,20,2007-03-11 17:51:24,TRUE,"https://t.co/UClrPuJpyZ","http://joebiden.com",,"https://pbs.twimg.com/profile_banners/939091/1626295479","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg"
