"","SortID","InstanceID","sms_dataid","sms_id","treatment","surveygroup","panel","sarajevocity","sarajevosurvey","panelcity","allwave","nationwave","panelwave","wave3","entity","rs","federation","region","type","urban","rural","municipality","municipality2","municipality3","centar","novigrad","novosarajevo","starigrad","sarajevocanton","panelcitycanton","tuzla","banjaluka","ethnicity","Bosniak","Croat","Serb","Bosnian","other","bosniakfavorable","croatfavorable","serbfavorable","ethnocentric","Men","age","Education","unemployed","religious","voteeu","heardofpride","prideknowledge","supportpride","rightspride","rightsnopride","rightsyesnopride","metgay","closetogay","gayrights","knewvictim","alphaclosecontact","GayActivistTreatment","HomophobeTreatment","AttendPride","ProtestPride","dgbias","magdgbias","dgprogay","dgantigay","municipalitystr","municipalcode","hadzic_merge","ethnic_vote_share","casualty","log_casualty","hhi_sb","hhi_cb","hhi_sc","pop_density","log_pop_density","refugees","cem_strata","cem_matched","cem_weights"
"1412",1412,368378,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,2,1,1,1,44,44,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,2,2,1,1,46,6,0,2,1,1,1,1,0,0,NA,1,0,5,1,1.75,1,0,1,1,1,1000,0,1000,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1,0.982467316828529
"1413",1413,371346,NA,NA,0,1,0,1,1,2,1,1,NA,0,1,0,1,7,1,1,1,137,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,3,3,3,0,0,18,3,0,2,1,0,1,1,0,0,NA,1,0,5,1,1.75,1,0,1,1,1,1000,0,1000,"Stari Grad Sarajevo",137,3,56.6492691040039,2.33131003379822,0.846430361270905,0.698612987995148,0.755686521530151,0.087262324988842,409.225799560547,6.01426696777344,2.48699355125427,1,1,0.85075158859896
"1414",1414,366549,NA,NA,0,1,0,0,0,3,1,1,NA,0,3,0,0,13,1,1,1,200,200,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,3,3,4,NA,0,45,9,0,2,1,1,2,2,0,0,NA,2,4,5,1,3,1,0,1,1,1,800,100,900,"Brcko",200,3,81.5674133300781,1.89439332485199,0.638898611068726,0.366000175476074,0.372424185276031,0.232811704277992,177.742401123047,5.180335521698,7.43378162384033,15,1,0.982467316828529
"1415",1415,362617,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,1,1,1,1,32,32,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,4,4,1,0,37,5,0,3,1,1,2,2,0,0,NA,2,0,4,2,2,1,0,1,1,0,0,500,500,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1,1.05699005490521
"1416",1416,360115,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,2,1,1,1,50,50,0,0,0,0,0,0,4,1,0,5,0,0,0,1,0,1,1,1,0,0,28,6,0,1,1,1,3,2,0,0,NA,1,0,4,1,1.5,1,0,1,1,1,400,300,700,"Tuzla",50,3,51.9989204406738,1.02493584156036,0.0246299766004086,0.397412896156311,0.39727771282196,0.154497846961021,434.382843017578,6.07392644882202,1.2543877363205,9,1,0.847774216940747
"1417",1417,369249,NA,NA,0,1,0,0,0,3,1,1,NA,0,2,1,0,9,2,0,2,70,70,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,2,2,1,1,1,41,5,0,2,0,1,1,1,0,0,NA,1,0,4,1,1.5,1,0,1,1,1,1000,0,1000,"Kotor Varos",70,3,97.3320159912109,2.75689911842346,1.0141065120697,0.345912724733353,0.295663326978683,0.341999262571335,65.8089294433594,4.18675565719604,7.6140341758728,14,1,1.04176939811458
"1418",1418,369253,NA,NA,0,1,0,0,0,3,1,1,NA,0,2,1,0,9,2,0,2,70,70,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,2,2,1,1,1,65,5,0,2,0,1,1,2,0,0,NA,1,0,4,1,1.5,1,0,1,1,1,600,200,800,"Kotor Varos",70,3,97.3320159912109,2.75689911842346,1.0141065120697,0.345912724733353,0.295663326978683,0.341999262571335,65.8089294433594,4.18675565719604,7.6140341758728,22,1,1.322314501895
"1419",1419,368980,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,2,1,1,1,79,79,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,2,2,1,0,52,3,0,2,1,1,3,2,0,0,NA,1,0,4,1,1.5,1,0,1,1,1,800,100,900,"Zivince",79,3,65.7695236206055,0.795867323875427,-0.228322774171829,0.748676061630249,0.742927312850952,0.0687085092067719,188.257736206055,5.23781204223633,1.62094080448151,17,1,0.79348529094722
"1420",1420,363665,NA,NA,0,1,0,1,1,2,1,1,NA,0,1,0,1,7,1,1,1,133,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,1,4,1,1,1,1,21,6,0,1,0,1,2,1,0,0,NA,4,0,4,4,3,1,0,1,1,1,1000,0,1000,"Novi Grad Sarajevo",133,3,55.1877136230469,2.34525966644287,0.852396130561829,0.426352620124817,0.457916766405106,0.234979271888733,2846.16674804688,7.95372819900513,2.40528202056885,1,1,0.85075158859896
"1421",1421,365727,NA,NA,0,1,0,1,1,2,1,1,NA,0,1,0,1,7,1,1,1,139,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,1,1,0,1,44,6,1,2,1,1,2,1,0,0,NA,1,0,4,1,1.5,1,0,1,1,1,990,5,995,"Novo Sarajevo",139,3,55.5962409973145,1.99076652526855,0.688519775867462,0.3513343334198,0.302132934331894,0.292502045631409,2023.17016601562,7.6124210357666,2.36935925483704,15,1,0.982467316828529
